Timestamp,Reconstruction_Error,Anomaly
2024-09-04 00:00:00-04:00,0.02670277,True
2024-09-05 00:00:00-04:00,0.024337584,True
2024-09-06 00:00:00-04:00,0.021040913,True
2024-09-09 00:00:00-04:00,0.017231649,True
2024-09-10 00:00:00-04:00,0.015371329,True
2024-09-11 00:00:00-04:00,0.0146399485,True
2024-09-12 00:00:00-04:00,0.0140439365,True
2024-09-13 00:00:00-04:00,0.012962214,True
2024-09-16 00:00:00-04:00,0.0118977465,True
2024-09-17 00:00:00-04:00,0.0110629825,True
2024-09-18 00:00:00-04:00,0.008887506,True
2024-09-19 00:00:00-04:00,0.008736817,True
2024-09-20 00:00:00-04:00,0.0088171605,True
2024-09-23 00:00:00-04:00,0.012083132,True
2024-09-24 00:00:00-04:00,0.012437006,True
2024-09-25 00:00:00-04:00,0.0122541925,True
2024-09-26 00:00:00-04:00,0.0119567,True
2024-09-27 00:00:00-04:00,0.011671948,True
2024-09-30 00:00:00-04:00,0.011587087,True
